# jubarte convert baseline (398 set), jubarte 0.9.0, 2026-09-05
# mean Jaccard 53.10, median 43.50, n=398
# ratchet: row drop >1.0 or mean drop >0.2 is a regression (planning/plan.md)
stem	jaccard	ssim	text_boundary
source__q1_sales_summary_table_2	14.1483	71.1700	100.0000
source__quarterly_performance_report_table	14.9322	67.2062	100.0000
source__quarterly_performance_report_table_2	16.9915	77.0108	100.0000
source__red_bold_heading_demo_style_default_missing	42.4585	90.7770	100.0000
source__red_bold_text_demo_id_paraid_overflow	94.5922	98.7460	100.0000
source__red_heading_demo_id_paraid_overflow	41.6363	89.2112	100.0000
source__red_strikethrough_demo_style_default_missing	72.2090	88.8838	100.0000
source__right_align_bold_demo_id_paraid_overflow	94.3268	98.4072	100.0000
source__right_aligned_italic_demo_id_paraid_overflow	93.0963	98.3229	100.0000
source__right_alignment_demo_id_paraid_overflow	96.2331	99.0857	100.0000
source__right_alignment_demo_id_paraid_overflow_2	96.6554	99.1268	100.0000
source__risk_assessment_product_launch_suggesting_insertions	96.9581	98.9862	100.0000
source__roboto_font_demo_id_paraid_overflow	16.3477	37.7360	100.0000
source__roboto_font_demo_id_paraid_overflow_2	15.1651	35.6877	100.0000
source__roboto_underline_demo_id_paraid_overflow	16.5702	41.7837	100.0000
source__sales_report_january_2026_suggesting_insertions	97.0585	98.9835	100.0000
source__sample_document_afterword_repaired_word_repaired	17.8746	41.5474	37.5000
source__sample_document_really_repaired_word_repaired	17.8944	41.5863	37.5000
source__sample_document_word_repair_of_our_output_iter2_word_repaired	17.7978	41.8438	37.5000
source__sample_document_word_repair_of_our_output_iter2_word_repaired_2	10.3937	29.6778	47.2727
source__sample_document_word_repair_of_our_output_word_repaired	17.8944	41.5863	37.5000
source__sample_document_word_repair_of_our_output_word_repaired_2	13.2461	38.7550	64.9007
source__sd_2517_localized_heading_styles	9.6212	30.9981	20.8835
source__sectpr_headerref	25.4541	42.5317	63.6364
source__single_paragraph	95.8730	98.8463	100.0000
source__small_font_size_demo_id_paraid_overflow	75.3551	98.5955	100.0000
source__strict01_sdt_controls	43.4967	56.1413	29.9270
source__strikethrough_and_italic_combo_id_paraid_overflow	67.2614	88.3027	100.0000
source__strikethrough_bold_demo_id_paraid_overflow	77.3838	85.8248	100.0000
source__strikethrough_text_demo_id_paraid_overflow	98.2026	99.6211	100.0000
source__strikethrough_text_formatting_demo_id_paraid_overflow	67.5495	89.3222	100.0000
source__subscript_demo_id_paraid_overflow	24.3442	38.5167	100.0000
source__subscript_demo_style_default_missing	26.2281	42.3869	100.0000
source__subtitle_style_demo_id_paraid_overflow	28.6191	92.7231	100.0000
source__subtitle_style_demo_style_default_missing	25.9117	90.5325	100.0000
source__superscript_demo_id_paraid_overflow	34.7206	42.8390	100.0000
source__superscript_demo_id_paraid_overflow_2	31.1312	39.2176	100.0000
source__superscript_demo_style_default_missing	99.0566	99.8663	100.0000
source__support_tickets_summary_id_paraid_overflow	69.9136	79.6110	0.0000
source__support_tickets_table	13.8559	74.3058	100.0000
source__table_bookmark_end	7.4615	36.2678	89.2857
source__table_vmerge_colspan	1.9324	12.3661	100.0000
source__text_box	15.7858	32.3977	100.0000
source__text_highlight_demo_style_default_missing	98.3715	99.5379	100.0000
source__tiff_image	46.8711	65.9950	100.0000
source__times_new_roman_bold_id_paraid_overflow	13.6415	25.3291	100.0000
source__times_new_roman_font_id_paraid_overflow	9.7899	26.4723	100.0000
source__title_style_centered_demo_id_paraid_overflow	28.0174	52.3120	100.0000
source__title_style_demo_id_paraid_overflow	37.8107	60.6825	100.0000
source__title_style_demo_style_default_missing	26.7859	50.5648	100.0000
source__track_changes_editing_bullet_id_paraid_overflow	95.3175	98.6377	100.0000
source__track_changes_editing_strikethrough_id_paraid_overflow	68.9494	88.6634	100.0000
source__track_changes_suggesting_bold_id_paraid_overflow	94.0666	97.7090	100.0000
source__track_changes_suggesting_calibri_id_paraid_overflow	21.7172	33.7330	100.0000
source__track_changes_suggesting_center_id_paraid_overflow	71.8583	93.0388	100.0000
source__track_changes_suggesting_heading_id_paraid_overflow	36.6880	87.5003	100.0000
source__track_changes_suggesting_italic_id_paraid_overflow	96.6207	99.3019	100.0000
source__track_changes_suggesting_title_id_paraid_overflow	16.3550	35.4101	100.0000
source__training_materials_onboarding_program_suggesting_insertions	96.2577	98.8996	100.0000
source__underline_text_demo_id_paraid_overflow	98.8520	99.7582	100.0000
source__underline_text_formatting_demo_style_default_missing	74.2774	93.7244	100.0000
source__verdana_bold_large_font_id_paraid_overflow	27.3456	56.9402	100.0000
source__verdana_font_demo_id_paraid_overflow	28.6575	94.9356	100.0000
source__verdana_font_demo_id_paraid_overflow_2	28.6575	94.9356	100.0000
source__verdana_italic_centered_demo_id_paraid_overflow	27.9029	93.5094	100.0000
source__verdana_italic_centered_demo_id_paraid_overflow_2	27.9029	93.5094	100.0000
source__vfdsdfcacawesd_suggesting_mixed_edits	88.0303	95.5070	100.0000
source__word_clean_strict01	43.4920	56.2556	29.9270
source__word_tolerated_broken_media_rel	1.0216	2.9129	100.0000
source__word_tolerated_duplicate_ppr	38.4358	99.9942	100.0000
source__word_tolerated_misplaced_link	4.2350	10.0470	91.3043
source__word_tolerated_misplaced_pgsz	6.4004	20.7865	0.0000
source__word_tolerated_misplaced_uipriority	60.9269	92.4238	96.9697
source__word_tolerated_orphan_comment	3.9526	28.8054	0.0000
source__yellow_highlight_demo_id_paraid_overflow	94.4837	98.5410	100.0000
source__yellow_highlight_italic_demo_style_default_missing	94.0511	98.3067	100.0000
source__yellow_highlight_italic_demo_style_default_missing_2	94.0511	98.3067	100.0000
source_randomized__file_1	83.2387	94.8723	100.0000
source_randomized__file_10	92.6916	98.6393	100.0000
source_randomized__file_100	41.0081	56.0466	44.4444
source_randomized__file_101	6.9266	10.1907	100.0000
source_randomized__file_102	74.5380	94.4388	100.0000
source_randomized__file_103	17.9534	86.7807	100.0000
source_randomized__file_104	0.0000	2.2873	0.0000
source_randomized__file_105	93.5925	98.3456	100.0000
source_randomized__file_106	18.1218	86.5556	100.0000
source_randomized__file_107	94.3668	98.3856	100.0000
source_randomized__file_108	97.1145	98.8177	100.0000
source_randomized__file_109	25.1559	40.6960	100.0000
source_randomized__file_11	33.0104	43.1848	100.0000
source_randomized__file_110	92.2140	97.3387	100.0000
source_randomized__file_111	35.4377	74.6463	100.0000
source_randomized__file_112	95.5350	98.7406	100.0000
source_randomized__file_113	11.5585	29.0408	100.0000
source_randomized__file_114	67.0968	88.1483	100.0000
source_randomized__file_115	41.0192	56.0969	44.4444
source_randomized__file_116	96.4504	99.0839	100.0000
source_randomized__file_117	36.4528	76.1462	100.0000
source_randomized__file_118	60.3977	72.5284	50.0000
source_randomized__file_119	97.7722	99.5208	100.0000
source_randomized__file_12	11.4386	21.2993	100.0000
source_randomized__file_120	12.6210	42.3680	100.0000
source_randomized__file_121	94.6738	98.8670	100.0000
source_randomized__file_122	97.2909	99.4214	100.0000
source_randomized__file_123	94.3077	98.3984	100.0000
source_randomized__file_124	18.5813	91.9510	100.0000
source_randomized__file_125	98.8398	99.6756	100.0000
source_randomized__file_126	97.5863	99.4225	100.0000
source_randomized__file_127	96.5560	99.0460	100.0000
source_randomized__file_128	96.2168	98.5387	100.0000
source_randomized__file_129	74.2219	93.4650	100.0000
source_randomized__file_13	8.3390	25.5940	100.0000
source_randomized__file_130	70.0923	97.4279	100.0000
source_randomized__file_131	32.1614	68.3061	79.5181
source_randomized__file_132	95.3252	98.6551	100.0000
source_randomized__file_133	96.6631	98.4669	100.0000
source_randomized__file_134	8.8550	33.6420	92.8571
source_randomized__file_135	14.8760	52.7857	100.0000
source_randomized__file_136	99.0424	99.7589	100.0000
source_randomized__file_137	12.5921	26.3091	100.0000
source_randomized__file_138	97.3320	99.1377	100.0000
source_randomized__file_139	17.8421	66.9017	100.0000
source_randomized__file_14	12.8668	35.0733	39.5062
source_randomized__file_140	99.4750	99.7157	100.0000
source_randomized__file_141	17.5742	68.9778	100.0000
source_randomized__file_142	96.4105	99.1992	100.0000
source_randomized__file_143	12.9768	35.1691	39.5062
source_randomized__file_144	88.8331	96.1375	100.0000
